data,servico,servico_corrigido,tipo,versao,datetime_ultima_atualizacao,id_execucao_dbt
2024-01-30,SP247,247,Sem planejamento porém com receita tarifária,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:02:58.431776,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2024-01-30,SP455,455,Sem planejamento porém com receita tarifária,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:02:58.431776,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2024-01-30,SV455,455,Sem planejamento porém com receita tarifária,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:02:58.431776,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2024-01-30,788,LECD68,Sem planejamento porém com receita tarifária,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:02:58.431776,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2024-01-30,SN368,368,Subsídio pago sem receita tarifária,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:02:58.431776,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2024-01-30,SN880,880,Subsídio pago sem receita tarifária,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:02:58.431776,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2024-01-30,SN554,554,Subsídio pago sem receita tarifária,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:02:58.431776,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2024-01-30,SN636,636,Subsídio pago sem receita tarifária,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:02:58.431776,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025-03-28,LECD91,010,Sem planejamento porém com receita tarifária,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:02:58.431776,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025-03-28,SV803,803,Subsídio pago sem receita tarifária,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:02:58.431776,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025-03-28,SN383,383,Subsídio pago sem receita tarifária,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:02:58.431776,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025-03-28,SN696,696,Subsídio pago sem receita tarifária,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:02:58.431776,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025-01-01,254,779,Sem planejamento porém com receita tarifária,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:02:58.431776,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
